invoice_id,vendor_name,vendor_email,category,description,amount,currency,issue_date,due_date,paid_date,status,days_overdue,notes
INV-2024-0018,TechFlow Solutions,billing@techflow.io,Software,Monthly SaaS Subscription,9832.92,EUR,2026-03-12,2026-04-11,,Disputed,0,
INV-2024-0019,LegalEagle Partners,accounts@legaleagle.law,Legal,Contract Review,9095.55,EUR,2026-02-27,2026-03-29,,Overdue,43,
INV-2024-0020,Talent Bridge,finance@talentbridge.hr,HR Services,Training Programs,12622.27,EUR,2026-03-10,2026-04-09,2026-04-06,Paid,0,
INV-2024-0021,TechFlow Solutions,billing@techflow.io,Software,Software Development,16616.53,EUR,2026-01-18,2026-02-17,2026-02-12,Paid,0,
INV-2024-0022,CloudBase Infrastructure,accounts@cloudbase.com,Infrastructure,Database Hosting,9902.89,EUR,2026-04-25,2026-05-25,,Pending,0,
INV-2024-0023,MarketMind Agency,billing@marketmind.agency,Marketing,SEO Services,12687.74,EUR,2026-03-04,2026-04-03,,Overdue,38,
INV-2024-0024,MarketMind Agency,billing@marketmind.agency,Marketing,Content Creation,1258.7,EUR,2026-02-03,2026-03-05,2026-03-05,Paid,0,
INV-2024-0025,SecureNet Systems,billing@securenet.io,Security,Security Audit,2990.83,EUR,2026-01-22,2026-02-21,2026-02-19,Paid,0,
INV-2024-0026,DesignStudio Pro,finance@designstudio.pro,Design,Creative Assets,9731.65,EUR,2026-01-11,2026-02-10,2026-02-05,Paid,0,
INV-2024-0027,SecureNet Systems,billing@securenet.io,Security,SSL Certificates,2753.2,EUR,2026-04-24,2026-05-24,,Pending,0,
INV-2024-0028,MarketMind Agency,billing@marketmind.agency,Marketing,Content Creation,10903.16,EUR,2026-05-08,2026-06-07,,Pending,0,
INV-2024-0029,Analytics Plus,invoices@analyticsplus.co,Analytics,Monthly Analytics Report,2032.47,EUR,2026-04-13,2026-05-13,,Pending,0,
INV-2024-0030,MarketMind Agency,billing@marketmind.agency,Marketing,Content Creation,13518.96,EUR,2026-03-06,2026-04-05,,Overdue,36,
INV-2024-0031,SecureNet Systems,billing@securenet.io,Security,SSL Certificates,13003.35,EUR,2026-02-10,2026-03-12,,Overdue,60,
INV-2024-0032,MarketMind Agency,billing@marketmind.agency,Marketing,Digital Campaign Management,1326.97,EUR,2026-03-12,2026-04-11,,Overdue,30,
INV-2024-0033,DataSync Corp,invoices@datasync.co,Data Services,Data Enrichment,10704.27,EUR,2026-04-24,2026-05-24,,Pending,0,
INV-2024-0034,DataSync Corp,invoices@datasync.co,Data Services,ETL Services,15524.78,EUR,2026-02-08,2026-03-10,2026-03-06,Paid,0,
INV-2024-0035,TechFlow Solutions,billing@techflow.io,Software,Monthly SaaS Subscription,673.98,EUR,2026-02-23,2026-03-25,,Overdue,47,
INV-2024-0036,TechFlow Solutions,billing@techflow.io,Software,Software Development,3069.66,EUR,2026-03-11,2026-04-10,2026-04-05,Paid,0,
INV-2024-0037,LegalEagle Partners,accounts@legaleagle.law,Legal,Legal Consulting,671.93,EUR,2026-03-09,2026-04-08,,Overdue,33,
INV-2024-0038,DesignStudio Pro,finance@designstudio.pro,Design,Brand Design Services,7763.74,EUR,2026-02-21,2026-03-23,2026-03-19,Paid,0,
INV-2024-0039,MarketMind Agency,billing@marketmind.agency,Marketing,Ad Spend Management,14550.4,EUR,2026-05-03,2026-06-02,,Pending,0,
INV-2024-0040,SecureNet Systems,billing@securenet.io,Security,Security Audit,16565.22,EUR,2026-01-31,2026-03-02,2026-02-28,Paid,0,
